NCH_SYMBOL, NCH_PREV_NAME, NCH_NEW_NAME, NCH_DT
DWSMIDRQ,Deutsche MF - DWS MID CAP FUND Series 1 - DP-DPO,DHFL Pramerica MF - MID CAP FUND Series 1 - DP-DPO,08-MAR-2016
E-SERVEINT,Citicorp Securities & Investments Ltd.,e-Serve International Limited,09-JUL-2003
E14D,JPMorgan MF - JPMorgan India FMP S14 - RDP,Edelweiss Fixed Maturity Plan - Series 14 - Regular Plan - Dividend,28-NOV-2016
E14G,JPMorgan MF - JPMorgan India FMP S14 - RG,Edelweiss Fixed Maturity Plan - Series 14 - Regular Plan - Growth,28-NOV-2016
E20D,JPMorgan Mutual Fund - JPMorgan India FMP S 20 - RDPO,Edelweiss Fixed Maturity Plan - Series 20 - Regular Plan - Dividend,28-NOV-2016
E20G,JPMorgan Mutual Fund - JPMorgan India FMP S 20 - RGO,Edelweiss Fixed Maturity Plan - Series 20 - Regular Plan - Growth,28-NOV-2016
E35D,JPMorgan MF - JPMorgan India FMP Series 35 - RP- DPO,Edelweiss Fixed Maturity Plan - Series 35 - Regular Plan - Dividend,28-NOV-2016
E35G,JPMorgan MF - JPMorgan India FMP Series 35 - RP-GO,Edelweiss Fixed Maturity Plan - Series 35 - Regular Plan - Growth,28-NOV-2016
E37D,JPMorgan MF - JPMorgan India FMP Sr 37 - RP-DPO,Edelweiss Fixed Maturity Plan - Series 37 - Regular Plan - Dividend,28-NOV-2016
E37G,JPMorgan MF - JPMorgan India FMP Sr 37 - RP-GO,Edelweiss Fixed Maturity Plan - Series 37 - Regular Plan - Growth,28-NOV-2016
E38D,JPMorgan MF - JPMorgan India FMP Series 38 - RP-DPO,Edelweiss Fixed Maturity Plan - Series 38 - Regular Plan - Dividend,28-NOV-2016
E38G,JPMorgan MF - JPMorgan India FMP Series 38 - RP-GO,Edelweiss Fixed Maturity Plan - Series 38 - Regular Plan - Growth,28-NOV-2016
E40D,JPMorgan MF - JPMorgan India FMP Series 40 - RP-DPO,Edelweiss Fixed Maturity Plan - Series 40 - Regular Plan - Dividend,28-NOV-2016
E40G,JPMorgan MF - JPMorgan India FMP Series 40 - RP-GO,Edelweiss Fixed Maturity Plan - Series 40 - Regular Plan - Growth,28-NOV-2016
E501D,JPMorgan Mutual Fund - JPMORGAN INDIA INCOME FUND Series 501 - Dividen,Edelweiss Income Fund - Series 501 - Dividend,28-NOV-2016
E501G,JPMorgan Mutual Fund - JPMORGAN INDIA INCOME FUND Series 501 - Growth,Edelweiss Income Fund - Series 501 - Growth,28-NOV-2016
E502D,JPMorgan MF - JPMorgan India FMP Series 502 - Div,Edelweiss Fixed Maturity Plan - Series 502 - Dividend Option,28-NOV-2016
E502G,JPMorgan MF - JPMorgan India FMP Series 502 - Grw,Edelweiss Fixed Maturity Plan - Series 502 - Growth Option,28-NOV-2016
EASTMINING,EASTERN MINING LTD,Eastern Mining & Allied Limited,04-JUL-1996
EASTSILK,ESI Limited,Eastern Silk Industries Limited,07-JUL-2006
EASUNREYRL,Easun Reyrolle Relays and Devices Limited,Easun Reyrolle Limited,26-NOV-1997
EBANK,Edelweiss Mutual Fund - Edelweiss Exchange Traded Scheme - Banking,Edelweiss ETF - Nifty Bank,16-FEB-2016
ED14D,JPMorgan MF - JPMorgan India FMP S14 - DDP,Edelweiss Fixed Maturity Plan - Series 14 - Direct Plan - Dividend,28-NOV-2016
ED14G,JPMorgan MF - JPMorgan India FMP S14 - DG,Edelweiss Fixed Maturity Plan - Series 14 - DP-GO,28-NOV-2016
ED20D,JPMorgan Mutual Fund - JPMorgan India FMP S 20 - DDPO,Edelweiss Fixed Maturity Plan - Series 20 - Direct Plan - Dividend,28-NOV-2016
ED20G,JPMorgan Mutual Fund - JPMorgan India FMP S 20 - DGO,Edelweiss Fixed Maturity Plan - Series 20 - Direct Plan - Growth,28-NOV-2016
ED35G,JPMorgan MF - JPMorgan India FMP Series 35 - DP-GO,Edelweiss Fixed Maturity Plan - Series 35 - Direct Plan - Growth,28-NOV-2016
ED37G,JPMorgan MF - JPMorgan India FMP Sr 37 - DP-GO,Edelweiss Fixed Maturity Plan - Series 37 - Direct Plan - Growth,28-NOV-2016
ED38G,JPMorgan MF - JPMorgan India FMP Series 38 - DP-GO,Edelweiss Fixed Maturity Plan - Series 38 - Direct Plan - Growth,28-NOV-2016
ED40G,JPMorgan MF - JPMorgan India FMP Series 40 - DP-GO,Edelweiss Fixed Maturity Plan - Series 40 - Direct Plan - Growth,28-NOV-2016
EDELWEISS,Edelweiss Capital Limited,Edelweiss Financial Services Limited,10-AUG-2011
EIDERTELE,Eider Telecom Ltd,Eider Infotech Limited,01-DEC-1999
EIHAHOTELS,Oberoi Associated Hotels Ltd,EIH ASSOCIATED HOTELS LIMITED,09-JUL-1997
EIHOTEL,East India Hotels Ltd,EIH LIMITED,20-NOV-1996
ELAND,Mudra Lifestyle Limited,E-Land Apparel Limited,13-MAR-2015
ELGIRUBBER,Elgitread (India) Ltd,Elgi Rubber Company Limited,22-DEC-2008
EMCOTRANS,Emco Transformers Ltd.,Emco Limited,28-MAR-2001
EMKAY,Emkay Share and Stock Brokers Limited,Emkay Global Financial Services Limited,29-JUL-2008
EMMBI,Emmbi Polyarns Limited,Emmbi Industries Limited,28-AUG-2013
ENTEGRA,Induj Enertech Limited,Entegra Limited,25-APR-2007
EONELECT,Indo Asian Fusegear Limited,Eon Electric Limited,18-AUG-2011
ERAINFRA,Era Constructions (India) Limited,Era Infra Engineering Limited,25-FEB-2008
ESCORTSFIN,Escorts Financial Services Ltd,Escorts Finance Limited,11-AUG-1999
ESSARPORTS,Essar Shipping Ports & Logistics Limited,Essar Ports Limited,07-JUN-2011
ESSARSHIP,Essar Shipping Ltd.,Essar Shipping Ports & Logistics Limited,23-OCT-2009
ESSELPACK,Essel Packaging Ltd.,Essel Propack Limited,11-FEB-2002
EVERESTIND,Eternit Everest Ltd,Everest Industries Limited,27-MAY-2005
EVERONN,Everonn Systems India Limited,Everonn Education Limited,16-SEP-2009
EXCEL,Excel Infoways Limited,Excel Realty N Infra Limited,05-MAY-2015
EXIDEIND,CHLORIDE INDUSTRIES LTD,Exide Industries Limited,04-JUL-1996
FAIRCHEM,Adi Finechem Limited,Fairchem Speciality Limited,19-JAN-2017
FAME,Shringar Cinemas Limited,Fame India Limited,25-FEB-2008
FCONSUMER,Future Consumer Enterprise Limited,FUTURE CONSUMER LIMITED,25-OCT-2016
FEDDERELEC,Fedders Lloyd Corporation Limited,Fedders Electric and Engineering Limited,13-JUN-2017
FEL,Future Retail Limited,FUTURE ENTERPRISES LIMITED,13-MAY-2016
FELDVR,Future Retail Limited,Future Enterprises Limited,13-MAY-2016
FFTF16ACQ,Fortis Mutual Fund-Fortis Fixed Term Fund-Series 16A-Calendar Qtly Div,BNP Paribas Fixed Term Fund Series 16 A Calendar Qtly Div,12-NOV-2010
FFTF16ACY,Fortis Mutual Fund-Fortis Fixed Term Fund-Series 16A-Calendar Yrly Div,BNP Paribas Fixed Term Fund Series 16 A Calendar Yly Div,12-NOV-2010
FFTF16ADM,Fortis Mutual Fund-Fortis Fixed Term Fund-Series 16A-Dividend on Mat,BNP Paribas Fixed Term Fund Series 16 A Dividend on Maturity,12-NOV-2010
FFTF16AGR,Fortis Mutual Fund-Fortis Fixed Term Fund-Series 16A-Growth,BNP Paribas Fixed Term Fund Series 16 A Growth,12-NOV-2010
FFTF16BCQ,Fortis Mutual Fund-Fortis Fixed Term Fund-Ser 16 B-Calendar Qtly Div,BNP Paribas Fixed Term Fund Series 16 B Calendar Qtly Div,12-NOV-2010
FFTF16BCY,Fortis Mutual Fund-Fortis Fixed Term Fund-Ser 16 B-Calendar Yly Div,BNP Paribas Fixed Term Fund Series 16 B Calendar Yly Div,12-NOV-2010
FFTF16BDM,Fortis Mutual Fund-Fortis Fixed Term Fund-Ser 16 B-Div on Maturity,BNP Paribas Fixed Term Fund Series 16 B Dividend on Maturity,12-NOV-2010
FFTF16BGR,Fortis Mutual Fund-Fortis Fixed Term Fund-Ser 16 B-Growth,BNP Paribas Fixed Term Fund Series 16 B Growth,12-NOV-2010
FFTF16CGR,Fortis Mutual Fund -  Fortis Fixed Term Fund- Series 16 C- Growth,BNP Paribas Fixed Term Fund Series 16 C Growth,12-NOV-2010
FFTF16DCQ,Fortis Mutual Fund -  Fortis Fixed Term Fund- Series 16D- Cal Qtly Div,BNP Paribas Fixed Term Fund Series 16 D Calendar Qtly Div,12-NOV-2010
FFTF16DCY,Fortis Mutual Fund -  Fortis Fixed Term Fund- Series 16 D- Cal Yly Div,BNP Paribas Fixed Term Fund Series 16 D Calendar Yly Div,12-NOV-2010
FFTF16DDM,Fortis Mutual Fund -  Fortis Fixed Term Fund- Series 16 D- Div on Mat,BNP Paribas Fixed Term Fund Series 16 D Dividend on Maturity,12-NOV-2010
FFTF16DGR,Fortis Mutual Fund -  Fortis Fixed Term Fund- Series 16 D- Growth,BNP Paribas Fixed Term Fund Series 16 D Growth,12-NOV-2010
FFTF17ACQ,Fortis Mutual Fund -  Fortis Fixed Term Fund- Series 17A- Cal Qtly Div,BNP Paribas Fixed Term Fund Series 17 A Calendar Qtly Div,12-NOV-2010
FFTF17ACY,Fortis Mutual Fund -  Fortis Fixed Term Fund- Series 17 A- Cal Yly Div,BNP Paribas Fixed Term Fund Series 17 A Calendar Yly Div,12-NOV-2010
FFTF17ADM,Fortis Mutual Fund -  Fortis Fixed Term Fund- Series 17 A- Div on Mat,BNP Paribas Fixed Term Fund Series 17 A Dividend on Maturity,12-NOV-2010
FFTF17AGR,Fortis Mutual Fund -  Fortis Fixed Term Fund- Series 17 A- Growth,BNP Paribas Fixed Term Fund Series 17 A Growth,12-NOV-2010
FFTF17BGR,Fortis Mutual Fund -  Fortis Fixed Term Fund - Series 17 B - Growth,BNP Paribas Fixed Term Fund Series 17 B Growth,12-NOV-2010
FFTF17CCQ,Fortis Mutual Fund - Fortis Fixed Term Fund- Series 17C - Cal Qtly Div,BNP Paribas Fixed Term Fund Series 17 C Calendar Qtly Div,12-NOV-2010
FFTF17CCY,Fortis Mutual Fund - Fortis Fixed Term Fund- Series 17 C - Cal Yly Div,BNP Paribas Fixed Term Fund Series 17 C Calendar Yly Div,12-NOV-2010
FFTF17CDM,Fortis Mutual Fund - Fortis Fixed Term Fund - Series 17 C - Div on Mat,BNP Paribas Fixed Term Fund Series 17 C Dividend on Maturity,12-NOV-2010
FFTF17CGR,Fortis Mutual Fund - Fortis Fixed Term Fund - Series 17 C - Growth,BNP Paribas Fixed Term Fund Series 17 C Growth,12-NOV-2010
FFTF18ACQ,Fortis Mutual Fund - Fortis Fixed Term Fund - Series 18 A- Cal Qtly Di,BNP Paribas Fixed Term Fund Series 18 A Calendar Qtly Div,12-NOV-2010
FFTF18ADM,Fortis Mutual Fund - Fortis Fixed Term Fund - Series 18 A- Div on Mat,BNP Paribas Fixed Term Fund Series 18 A Dividend on Maturity,12-NOV-2010
FFTF18AGR,Fortis Mutual Fund -  Fortis Fixed Term Fund - Series 18 A - Growth,BNP Paribas Fixed Term Fund Series 18 A Growth,12-NOV-2010
FFTF18BCQ,Fortis Mutual Fund -  Fortis Fixed Term Fund- Series 18 B- CQD,BNP Paribas Fixed Term Fund Series 18 B Calendar Qtly Div,12-NOV-2010
FFTF18BDM,Fortis Mutual Fund -  Fortis Fixed Term Fund- Series 18 B- DOM,BNP Paribas Fixed Term Fund Series 18 B Dividend on Maturity,12-NOV-2010
FFTF18BGR,Fortis Mutual Fund -  Fortis Fixed Term Fund- Series 18 B- Growth,BNP Paribas Fixed Term Fund Series 18 B Growth,12-NOV-2010
FFTF18CCQ,Fortis Mutual Fund -  Fortis Fixed Term Fund- Series 18 C- CQD,BNP Paribas Fixed Term Fund Series 18 C Calendar Qtly Div,12-NOV-2010
FFTF18CDM,Fortis Mutual Fund -  Fortis Fixed Term Fund- Series 18 C- DOM,BNP Paribas Fixed Term Fund Series 18 C  Dividend on Maturity,12-NOV-2010
FFTF18CGR,Fortis Mutual Fund -  Fortis Fixed Term Fund- Series 18 C- Growth,BNP Paribas Fixed Term Fund Series 18 C Growth,12-NOV-2010
FFTF18DCQ,Fortis Mutual Fund -  Fortis Fixed Term Fund- Series 18 D- CQD,BNP Paribas Fixed Term Fund Series 18 D Calendar Qtly Div,12-NOV-2010
FFTF18DCY,Fortis Mutual Fund -  Fortis Fixed Term Fund- Series 18 D- CYD,BNP Paribas Fixed Term Fund Series 18 D Calendar Yearly Div,12-NOV-2010
FFTF18DDM,Fortis Mutual Fund -  Fortis Fixed Term Fund- Series 18 D- DOM,BNP Paribas Fixed Term Fund Series 18 D  Dividend on Maturity,12-NOV-2010
FFTF18DGR,Fortis Mutual Fund -  Fortis Fixed Term Fund- Series 18 D- Growth,BNP Paribas Fixed Term Fund Series 18 D Growth,12-NOV-2010
FGPIND,FGP Industries Ltd,FGP LIMITED,04-JUL-1996
FKONCO,Dabur Pharma Limited,Fresenius Kabi Oncology Limited,19-FEB-2009
FLEXCHEM,Flex Chemicals Ltd,FCL technologies & Products Limited,26-DEC-2000
FMGOETZE,Goetze (India) Ltd,Federal-Mogul Goetze (India) Limited.,12-SEP-2006
FMNL,Agre Developers Limited,Future Market Networks Limited,06-MAR-2012
FORTIS,Fortis Healthcare (India) Limited,Fortis Healthcare Limited,02-APR-2012
FSS,Hughes Software Systems Limited,Flextronics Software Systems Limited,17-MAR-2005
FULLERKCP,Fuller K C P Ltd,Fuller India Limited,19-AUG-1997
GAIL,Gas Authority of India Limited,GAIL (India) Limited,30-MAR-2004
GANESHHOUC,Ganesh Housing Finance Corpn. Ltd.,Ganesh Housing Corporation Limited,02-MAR-2007
GATI,Gati Corporation Limited,GATI Limited,06-OCT-2006
GEECEE,Gwalior Chemical Industries Limited,GeeCee Ventures Limited,05-MAR-2010
GENUSPOWER,Genus Overseas Electronics Limited,Genus Power Infrastructures Limited,14-JAN-2008
GEODESIC,Geodesic Information Systems Limited,Geodesic Limited,06-OCT-2008
GEOJITFSL,Geojit BNP Paribas Financial Services Limited,Geojit Financial Services Limited,02-MAR-2017
GEOMETRIC,Geometric Software Solutions Co. Limited,Geometric Limited,07-JAN-2008
GEORGWILIM,George Williamson (Assam) Ltd.,Williamson Tea Assam Limited,05-MAR-2004
GEPIL,Alstom India Limited,GE Power India Limited,14-SEP-2016
GET&D,Alstom T&D India Limited,GE T&D India Limited,14-SEP-2016
GHCL,Gujarat Heavy Chemicals Ltd,GHCL Limited,20-JAN-2004
GICBAL,GIC Balanced Fund,GIC MUTUAL FUND - BALANCED FUND,15-JUL-1996
GICBIGCBS,GIC Big Value - CBS,GIC MUTUAL FUND BIG VALUE - CBS,15-JUL-1996
GICBIGQDIS,GIC Big Value - QDIS,GIC MUTUAL FUND BIG VALUE - QDIS,15-JUL-1996
GICSU96APP,GIC MUTUAL FUND - APPN,GIC MUTUAL FUND SURAKSHA 96 - APPN,15-JUL-1996
GICSU96MIP,GIC MF SURAKSHA 96 - MIP,GIC MUTUAL FUND SURAKSHA 96 - MIP,15-JUL-1996
GILLETTE,Indian Shaving Products Ltd.,GILLETTE INDIA LIMITED,14-MAR-2001
GLAXO,Glaxo (India) Ltd.,GlaxoSmithKline Pharmaceuticals Limited,22-OCT-2001
GLOBOFFS,Garware Offshore Services Limited,Global Offshore Services Limited,07-JUN-2011
GLODYNE,Paradyne Infotech Limited,Glodyne Technoserve Limited,19-NOV-2007
GMRINDSTRS,GMR Technologies & Industries Limited,GMR Industries Limited,28-APR-2006
GNFC,Gujarat Narmada Valley Fertilizer Company Limited,Gujarat Narmada Valley Fertilizers and Chemicals Limited,20-NOV-2012
GOCLCORP,Gulf Oil Corporation Limited,GOCL CORPORATION LIMITED,10-NOV-2015
GODAVRFERT,Godavari Fertilizers & Chemicals Ltd,Godavari Fertilisers And Chemicals Limited,10-OCT-2006
GOLDBEES,R*Shares Gold BeES,Reliance ETF Gold BeES,31-MAR-2017
GOLDENTOBC,GTC Industries Ltd,Golden Tobacco Limited,29-SEP-2008
GOLDINFRA,Goldstone Teleservices Lt,Goldstone Infratech Limited,29-FEB-2008
GOLDIWIN,ICICI Prudential Gold ETF,ICICI Prudential Gold iWIN ETF,25-JUL-2016
GOODLUCK,Good Luck Steel Tubes Limited,Goodluck India Limited,05-JUL-2016
GRAPHITE,Carbon Everflow Ltd,Graphite India Limited,30-SEP-2002
GREAVESCOT,Greaves Limited,Greaves Cotton Limited,09-SEP-2004
GREENFIRE,Northgate Technologies Limited,Green Fire Agri Commodities Limited,29-NOV-2012
GSFC,Gujarat State Fertilizers Co. Ltd.,Gujarat State Fertilizers & Chemicals Limited,23-OCT-1996
GSKCONS,Smithkline Beecham Consumer Healthcare Ltd.,GlaxoSmithKline Consumer Healthcare Limited,29-JUL-2003
GSLNOVA,Nova Petrochemicals Limited,GSL Nova Petrochemicals Limited,18-DEC-2009
GSS,GSS America Infotech Limited,GSS Infotech Limited,24-AUG-2011
GTL,Global Tele-systems Ltd.,GTL Limited,19-NOV-2001
GTNIND,GTN Textiles Ltd,GTN Industries Limited,24-FEB-2006
GTOFFSHORE,Great Offshore Limited,GOL Offshore Limited,07-DEC-2012
GUJAPOLLO,Gujarat Apollo Equipments Ltd.,Gujarat Apollo Industries Limited,04-JUN-2007
GULFOILCOR,IDL Industries Ltd.,Gulf Oil Corporation Limited,08-NOV-2007
GULFPETRO,Sah Petroleums Limited,GP Petroleums Limited,06-MAY-2015
HBPORT,HB Portfolio Leasing Ltd,HB Stockholdings Limited,05-MAR-1997
HCL-INSYS,HCL Hewlett Packard Ltd,HCL Infosystems Limited,14-OCT-1997
HCL-INSYS,HCL Hewlett Packard Ltd,HCL Infosystems Ltd,14-OCT-1997
HEIDELBERG,Mysore Cements Ltd,HeidelbergCement India Limited,15-MAY-2009
HERITGFOOD,Heritage Foods (India) Limited,Heritage Foods Limited,25-SEP-2013
HEROMOTOCO,Hero Honda Motors Limited,Hero MotoCorp Limited,08-AUG-2011
HGS,HTMT Global Solutions Ltd.,Hinduja Global Solutions Limited,23-JAN-2009
HIL,Hyderabad Industries Limited,HIL Limited,26-OCT-2012
HINDUJAFO,Ennore Foundries Limited,Hinduja Foundries Limited,24-MAR-2008
HINDUJAVEN,Hinduja TMT Limited,Hinduja Ventures Limited,29-NOV-2007
HINDUNILVR,Hindustan Lever Ltd.,Hindustan Unilever Limited,19-JUL-2007
HINVDIR,IL&FS Investsmart Limited,HSBC InvestDirect (India) Limited,07-SEP-2009
HITECHCORP,Hitech Plast Limited,Hitech Corporation Limited,23-MAY-2017
HITECHGEAR,Hi-Tech Gears Limited,The Hi-Tech Gears Limited,30-OCT-2015
HNGSNGBEES,R*Shares Hang Seng BeES,Reliance ETF Hang Seng BeES,31-MAR-2017
HONAUT,Tata Honeywell Ltd,Honeywell Automation India Limited,24-MAR-2005
HONDAPOWER,Shriram Honda Power Equipments Ltd,Honda Siel Power Products Limited,16-SEP-1998
HSCL,Himadri Chemicals and Industries Limited,Himadri Speciality Chemical Limited,16-AUG-2016
HSIL,Hindustan Sanitaryware And Industries Ltd,HSIL Limited,27-APR-2009
HTMT,Hinduja Finance Corporation Ltd,Hinduja TMT Limited,16-JUL-2001
HUBTOWN,Ackruti City Limited,Hubtown Limited,15-NOV-2011
I1ADD,LIC Mutual Fund - LIC MF Interval Fund Annual Plan - Series 1 - Div. P,LIC NOMURA MF Interval Fund Annual Plan - Series 1 - Div. P,13-JUL-2011
I1ADR,LIC Mutual Fund - LIC MF Interval Fund Annual Plan- Series 1 - Div. Re,LIC NOMURA MF Interval Fund Annual Plan- Series 1 - Div. Re,13-JUL-2011
I1AGG,LIC Mutual Fund - LIC MF Interval Fund Annual Plan - Series 1 - Growth,LIC NOMURA MF Interval Fund Annual Plan - Series 1 - Growth,13-JUL-2011
I1MDD,LIC Mutual Fund - LIC MF Interval Fund Monthly Plan - Series 1- Div. P,LIC NOMURA MF Interval Fund Monthly Plan - Series 1- Div. P,13-JUL-2011
I1MDR,LIC Mutual Fund - LIC MF Interval Fund Monthly Plan- Series 1- Div. Re,LIC NOMURA MF Interval Fund Monthly Plan- Series 1- Div. Re,13-JUL-2011
I1MGG,LIC Mutual Fund - LIC MF Interval Fund Monthly Plan - Series 1- Growth,LIC NOMURA MF Interval Fund Monthly Plan - Series 1- Growth,13-JUL-2011
I1QDD,LIC Mutual Fund- LIC MF Interval Fund Quarterly Plan - Series 1-Div. P,LIC NOMURA MF Interval Fund Quarterly Plan-Series 1-Div.P,13-JUL-2011
I1QDR,LIC Mutual Fund-LIC MF Interval Fund Quarterly Plan - Series 1-Div. Re,LIC NOMURA MF Interval Fund Quarterly Plan - Series 1-Div. Re,13-JUL-2011
I1QGG,LIC Mutual Fund- LIC MF Interval Fund Quarterly Plan - Series 1-Growth,LIC NOMURA MF Interval Fund Quarterly Plan - Series 1-Growth,13-JUL-2011
I2QDD,LIC Mutual Fund- LIC MF Interval Fund Quarterly Plan - Series 2-Div. P,LIC NOMURA MF Interval Fund Quarterly Plan - Series 2-Div. P,13-JUL-2011
I2QDR,LIC Mutual Fund-LIC MF Interval Fund Quarterly Plan - Series 2-Div. Re,LIC NOMURA MF Interval Fund Quarterly Plan - Series 2-Div. Re,13-JUL-2011
I2QGG,LIC Mutual Fund- LIC MF Interval Fund Quarterly Plan - Series 2-Growth,LIC NOMURA MF Interval Fund Quarterly Plan - Series 2-Growth,13-JUL-2011
IBVENTURES,Indiabulls Securities Limited,Indiabulls Ventures Limited,01-APR-2015
ICICI,Industrial Credit And Investment Corporation Of India Ltd.,ICICI Limited,23-SEP-1998
ICICIBANK,ICICI Banking Corporation Ltd,ICICI Bank Limited,17-NOV-1999
IDBI,Industrial Development Bank of India Limited,IDBI Bank Limited,22-MAY-2008
IDFC,Infrastructure Development Finance Company Limited,IDFC Limited,03-AUG-2012
IFCI,Industrial Finance Corporation Of India Ltd.,IFCI Limited,29-NOV-1999
IGARASHI,CG Igarshi Motors Ltd,Igarashi Motors India Limited,21-APR-2005
IGS,Mascot Systems Limited,iGate Global Solutions Limited,07-AUG-2003
IIFL,India Infoline Limited,IIFL Holdings Limited,13-MAR-2014
IIFLFIN,India Infoline Investment Services Limited,India Infoline Finance Limited,27-AUG-2012
IL&FSENGG,Maytas Infra Limited,IL&FS Engineering and Construction Company Limited,08-FEB-2011
INDIAPHOTO,INDIA PHOTOGRAPHIC CO. LTD.,Kodak India Limited,04-JUL-1996
INDLMETER,Industrial Meters Limited,IMP Powers Limited,01-DEC-1998
INDOGULF,Indo Gulf Fertilizers & Chemicals Corpn. Ltd.,Indo Gulf Corporation Limited,02-SEP-1998
INDYESTUF,Indian Dyestuff Industries Ltd,IDI Limited,11-AUG-1999
INEOSSTYRO,Styrolution ABS (India) Limited,INEOS Styrolution India Limited,04-APR-2016
INF223J010,Deutsche MF - DWS FMP Series 70 - RP-QDPO,DHFL Pramerica MF - FMP Series 70 - RP-QDPO,08-MAR-2016
INF223J011,Deutsche MF - DWS FMP Series 70 - RP-ADPO,DHFL Pramerica MF - FMP Series 70 - RP-ADPO,08-MAR-2016
INF223J012,Deutsche MF - DWS FMP Series 70 - RP-GO,DHFL Pramerica MF - FMP Series 70 - RP-GO,08-MAR-2016
INFOMEDIA,Infomedia 18 Limited,INFOMEDIA PRESS LIMITED,08-OCT-2012
INFRABEES,R*Shares Infra BeES,Reliance ETF Infra BeES,31-MAR-2017
INFY,Infosys Technologies Limited,Infosys Limited,29-JUN-2011
INGVYSYABK,Vysya Bank Ltd,ING Vysya Bank Limited,17-MAR-2003
INTCOMTECH,International Comptech Engineering Services Ltd,ICES Software Limited,28-MAR-2001
INVELTRANS,GKN Invel Transmission Ltd,GKN Driveshafts (India) Limited,30-JUN-2000
IOLN,IOL Broadband Limited,IOL Netcom Limited,18-FEB-2008
IPAPPM,The Andhra Pradesh Paper Mills Limited,International Paper APPM Limited,21-JAN-2014
ITDCEM,Skanska Cementation India Limited,ITD Cementation India Limited,16-AUG-2005
IVC,IL & FS Venture Corporation Ltd.,IL&FS Investment Managers Limited,06-JAN-2003
IVRCLAH,IVR Prime Urban Developers Limited,IVRCL Assets & Holdings Limited,13-APR-2010
IVRCLINFRA,IVRCL Infrastructures & Projects Limited,IVRCL Limited,20-APR-2011
IVZINA1BDG,Religare Invesco MF - Religare Invesco AIF - Sr 1 - Pl B - DS-P-GO,Invesco MF – Invesco India AIF - Sr 1 - Pl B - DS-P-GO,23-JUN-2016
IVZINA1BRG,Religare Invesco MF - Religare Invesco AIF - Sr 1 - Pl B - RS-P-GO,Invesco MF – Invesco India AIF - Sr 1 - Pl B - RS-P-GO,23-JUN-2016
IVZINGOLD,Religare Invesco Gold Exchange Traded Fund,Invesco India Gold Exchange Traded Fund,23-JUN-2016
IVZINNIFTY,Religare Invesco Nifty Exchange Traded Fund,Invesco India Nifty Exchange Traded Fund,23-JUN-2016
IZMO,Logix Microsystems Limited,IZMO Limited,15-MAY-2015
JAIBALAJI,Jai Balaji Sponge Limtied,Jai Balaji Industries Limited,10-AUG-2007
JAYNECOIND,Jayaswals Neco Limited,Jayaswal Neco Industries Limited,22-FEB-2008
JBMA,JBM Auto Components Limited,JBM Auto Limited,04-JAN-2006
JCHAC,Hitachi Home and Life Solutions (India) Limited,Johnson Controls – Hitachi Air Conditioning India Limited,12-SEP-2016
JDORGO,Jaysynth Dyechem Ltd,JD Orgochem Limited,13-SEP-2004
JINDALDRIL,Jindal Drilling Industries Ltd,Jindal Drilling And Industries Limited,20-SEP-2004
JINDALFOTO,Jindal Photo Films Ltd.,Jindal Photo Limited,29-JAN-2004
JINDALPOLY,Jindal Polyester Ltd,Jindal Poly Films Limited,06-SEP-2004
JINDALSAW,Saw Pipes Ltd.,Jindal Saw Limited,18-FEB-2005
JKTYRE,J.K.Industries Limited,JK Tyre & Industries Limited,23-MAY-2007
JPPOWER,Jaiprakash Hydro-Power Limited,Jaiprakash Power Ventures Limited,08-JAN-2010
JSL,JSL Stainless Limited,Jindal Stainless Limited,21-DEC-2011
JSWHL,Jindal South West Holdings Limited,JSW Holdings Limited,30-JUL-2013
JSWISPAT,Ispat Industries Limited,JSW ISPAT Steel Limited,16-AUG-2011
JSWSTEEL,Jindal Vijayanagar Steel Limited,JSW Steel Limited,16-SEP-2005
JUBILANT,Jubilant Organosys Limited,Jubilant Life Sciences Limited,20-OCT-2010
JUNIORBEES,R*Shares Junior BeES,Reliance ETF Junior BeES,31-MAR-2017
KAKATCEM,Kakatiya Cements Ltd,Kakatiya Cement Sugar & Industries Limited,03-FEB-1999
KAMDHENU,Kamdhenu Ispat Limited,Kamdhenu Limited,22-MAR-2016
KANSAINER,Goodlass Nerolac Paints  Ltd,Kansai Nerolac Paints Limited,26-JUL-2006
KELVINATOR,Kelvinator of India Ltd.,Whirlpool of India Limited,20-NOV-1996
KFA,Deccan Aviation Limited,Kingfisher Airlines Limited,06-OCT-2008
KGL,Karuturi Networks Limited,Karuturi Global Limited,20-NOV-2008
KHAIHOSTOM,KHAITAN HOSTOMBE SPINELS LTD.,KHSL Industries Limited,04-JUL-1996
KHATJUNKER,Khatau Junker Ltd,Indokem Limited,14-FEB-1997
KINETICMOT,Kinetic Honda Motors Ltd,Kinetic Motor Company Limited,20-SEP-2004
KIRIINDUS,Kiri Dyes and Chemicals Limited,Kiri Industries Limited,28-MAR-2011
KIRLOSIND,Kirloskar Oil Engines Limited,Kirloskar Industries Limited,02-JUL-2010
KOHINOOR,Satnam Overseas Ltd,Kohinoor Foods Limited,18-AUG-2006
KOKUYOCMLN,Camlin Limited,Kokuyo Camlin Limited,14-FEB-2012
KOPDRUGS,Kopran Drugs Limited,KDL Biotech Limited,23-AUG-2000
