Symbol,Company,Delisted Date,Type of Delisting
MANJUSHREE,Manjushree Technopack Limited,24-Mar-15,"Voluntary"
WINSOMEDJ,Winsome Diamonds and Jewellery Limited,31-Mar-15,"Voluntary"
GSLNOVA,GSL Nova Petrochemicals Limited,22-Apr-15,"Voluntary"
ESSARPORTS,Essar Ports Limited,31-Dec-15,"Voluntary"
ESSAROIL,Essar Oil Limited,17-Feb-16,"Voluntary"
ZENITHCOMP,Zenith Computers Limited,18-Mar-16,"Voluntary"
GUJSTATFIN,Gujarat State Financial Corporation,18-Mar-16,"Voluntary"
NOVAIRNSTL,Nova Iron & Steel Ltd,4-Jul-16,"Voluntary"
CHEMOXCHEM,Chemox Chemical Industries Limited,31-Aug-16,Delisting - Liquidation
GANAPATEXP,Ganapati Exports Limited,31-Aug-16,Delisting - Liquidation
HINDALLOYS,Hamco Mining & Smelting Limited,31-Aug-16,Delisting - Liquidation
MANSUKHIND,Mansukh Industries Limited,31-Aug-16,Delisting - Liquidation
MARDIACHEM,Mardia Chemicals Limited,31-Aug-16,Delisting - Liquidation
MARDIASTL,Mardia Steel Limited,31-Aug-16,Delisting - Liquidation
MOOLEXPORT,Moolchand Exports Limited,31-Aug-16,Delisting - Liquidation
MOTOROL,Motorol (I) Limited,31-Aug-16,Delisting - Liquidation
PALPEUGEOT,Pal Peugeot Limited,31-Aug-16,Delisting - Liquidation
PONNIORISA,Ponni Sugars (Orissa) Limited,31-Aug-16,Delisting - Liquidation
PRUDENTCM,Prudential Capital Markets Limited,31-Aug-16,Delisting - Liquidation
SIVIND,SIV Industries Limited,31-Aug-16,Delisting - Liquidation
SMZSCHEM,SMZS Chemicals Limited,31-Aug-16,Delisting - Liquidation
VIBRANTINV,Vibrant  Investment and Properties Limited,31-Aug-16,Delisting - Liquidation
ALPICFIN,Alpic Finance Limited,12-Sep-16,Delisting - Liquidation
ARIHANTCOT,Arihant Cotsyn Limited,12-Sep-16,Delisting - Liquidation
BHUPENIND,BIL Industries Limited,12-Sep-16,Delisting - Liquidation
BPLREFRIG,B S Refrigerators Limited,12-Sep-16,Delisting - Liquidation
BPLSANTECH,BST Limited,12-Sep-16,Delisting - Liquidation
CEATFIN,CFL Capital Financial Services Limited,12-Sep-16,Delisting - Liquidation
COMPUDYNE,Compudyne Winosystems Limited,12-Sep-16,Delisting - Liquidation
CYBERSPACE,Cyberspace Limited,12-Sep-16,Delisting - Liquidation
DRIND,DR Softech & Industries Limited,12-Sep-16,Delisting - Liquidation
DSJFINCORP,DSJ Finance Corporation Limited,12-Sep-16,Delisting - Liquidation
ENKTEXFOOD,Enkay Texofood Industries Limited,12-Sep-16,Delisting - Liquidation
HANILERA,Hanil Era Textiles Limited,12-Sep-16,Delisting - Liquidation
PATHEJAFOR,Patheja Forgings & Auto Parts Manufacturers Limited,12-Sep-16,Delisting - Liquidation
PSTL,Pyramid Saimira Theatre Limited,12-Sep-16,Delisting - Liquidation
RUSHABEAR,Rushabh Precision Bearings Limited,12-Sep-16,Delisting - Liquidation
SNOWCEMIND,Snowcem India Limited (SIL Business Enterprises Limited),12-Sep-16,Delisting - Liquidation
SOUNDCRAFT,Soundcraft Industries Limited,12-Sep-16,Delisting - Liquidation
SQUAREDBIO,Origin Agrostar Limited,12-Sep-16,Delisting - Liquidation
VINCARDS,Vintage Cards & Creations Limited,12-Sep-16,Delisting - Liquidation
WOPOLIN,Wopolin Plastics Limited,12-Sep-16,Delisting - Liquidation
BENTOLCHEM,Chemox Laboratories Limited,22-Nov-16,"Compulsory"
CEPHAMILK,Cepham Milk Specialities Limited,22-Nov-16,"Compulsory"
DAMANIACM,Damania Capital Markets Limited,22-Nov-16,"Compulsory"
DARTLTD,Dataline and Research Technologies Limited,22-Nov-16,"Compulsory"
GRAPCOGRAN,Grapco Industries Limited,22-Nov-16,"Compulsory"
HMGIND,HMG Industries Limited,22-Nov-16,"Compulsory"
MANDUIND,Mandu Industries Limited,22-Nov-16,"Compulsory"
NOVASTEEL,Nova Steel India Limited,22-Nov-16,"Compulsory"
RAJINPIPE,Rajinder Pipes Limited,22-Nov-16,"Compulsory"
RAJINSTEEL,Rajinder Steels Limited,22-Nov-16,"Compulsory"
RUPANGIMPX,Rupangi Impex Limited,22-Nov-16,"Compulsory"
SANDERIND,Sanderson Industries Limited,22-Nov-16,"Compulsory"
SUNSTARLUB,Sunstar Lubricants Limited,22-Nov-16,"Compulsory"
ZENGLOBAL,Zen Global Finance Limited,22-Nov-16,"Compulsory"
